seed,model,cv_auroc,cv_auprc,fold_sd,folds
42,fusion,0.8004,0.5424,0.025554647326856198,"[0.826, 0.772, 0.831, 0.771, 0.802]"
42,clinical_mlp,0.7677999999999999,0.5208,0.038133449883271775,"[0.825, 0.729, 0.796, 0.762, 0.727]"
7,fusion,0.7834,0.5429999999999999,0.029227384419410505,"[0.785, 0.732, 0.8, 0.82, 0.78]"
7,clinical_mlp,0.7652,0.5132,0.04683332147093563,"[0.759, 0.804, 0.786, 0.8, 0.677]"
2024,fusion,0.7948000000000001,0.5307999999999999,0.015197368193210277,"[0.79, 0.773, 0.818, 0.789, 0.804]"
2024,clinical_mlp,0.7666,0.5056,0.04875079486531478,"[0.766, 0.692, 0.826, 0.738, 0.811]"
